padron;valuacion;boleta
4678071;66186.44;9395679
4678072;66124.89;9395680
4678073;63742.55;9395681
4678074;67891.860112;9395682
4678075;77896.94;9395683
4676076;15106.25;9395684
4678078;75652.79;9395685
4678080;101327.11;9395686
4678081;79817.59;9395687
4678082;76973.4;9395688
4678083;76107.04;9395689
4678084;91704.0;9395690
4678085;75637.28;9395691
4678090;75935.05;9395692
4678086;75651.7;9395693
82478;236768.14;9395694
4678087;75637.74;9395695
4678089;76899.16;9395697
4678091;72477.26;9395698
4678092;74471.04;9395699
4678093;15800.001;9395700
4678094;74471.04;9395701
4678096;81118.74;9395702
4678097;80298.23;9395703
4678098;77480.45;9395704
4678099;87356.08;9395705
4678103;74387.43;9395706
4678104;73262.21;9395707
878348;244919.23;9395708
878349;228147.66;9395709
878517;133706.24;9395710
4676511;255860.8;9395711
876801;12489.1;9395712
876802;12489.1;9395713
581404;229288.86;9395714
4679983;94706.57;9395715
677362;65092.68;9395716
879512;129958.52;9395717
879521;165473.87;9395718
535131;320919.13;9395719
4679276;95026.48;9395720
4679187;116746.75;9395722
879507;144528.68;9395723
777076;240441.73;9395724
879498;157240.58;9395725
879497;160170.67;9395726
879501;1032902.01;9395727
879503;136335.61;9395728
879515;490113.84;9395729
879514;440744.54;9395730
4676194;15106.25;9395731
878229;633471.72;9395732
4678609;240150.42;9395733
4678608;240464.26;9395734
777184;785280.42;9395735
678819;534359.51;9395736
779116;65367.86;9395737
4679865;251738.79;9395738
4677862;101602.19;9395739
775061;273493.38;9395740
4679188;123155.02;9395741
4775365;30719.56;9395742
4775366;30923.59;9395743
879519;378792.41;9395744
879508;560302.29;9395745
879921;944571.0;9395746
879234;9900.0;9395747
879235;5700.0;9395748
4676037;15106.25;9395749
678311;33389.58;9395750
4675138;837777.31;9395751
4678663;33967.25;9395752
775480;437238.12;9395753
4775245;590318.74;9395754
4679148;149859.899;9395755
483533;44170.98;9395756
4679176;136378.51;9395757
4679177;131478.22;9395758
4679178;127661.9;9395759
4679179;124930.72;9395760
4679180;123208.39;9395761
4679181;122481.07;9395762
4679182;120589.59;9395763
4679183;125645.47;9395764
4679184;122509.4;9395765
4679186;118257.51;9395766
4679189;124710.43;9395767
4679190;137863.23;9395768
4679191;227065.71;9395769
4679192;226982.28;9395770
4679193;1703987.03;9395771
4679194;92368.78;9395772
4679195;78315.63;9395773
4679197;90835.58;9395774
4679198;85030.18;9395775
4679199;100407.39;9395776
4679200;103537.14;9395777
4679201;93259.65;9395778
4679202;110245.64;9395779
4679205;104794.89;9395780
4679206;117441.11;9395781
4679207;110764.69;9395782
4679208;110522.03;9395783
4679209;107226.82;9395784
4679210;103427.91;9395785
4679211;116281.9;9395786
4679212;103956.36;9395787
4679213;109968.49;9395788
4679214;103856.9;9395789
4679215;133390.73;9395790
4679216;147064.52;9395791
4679217;128062.77;9395792
4679218;112009.46;9395793
4679219;109162.41;9395794
4679221;84740.18;9395796
4679222;89766.74;9395797
4679224;94126.37;9395798
4679225;116147.01;9395799
4679226;119747.06;9395800
4679227;99673.55;9395801
4679228;99118.79;9395802
4679229;96595.53;9395803
4679231;95426.02;9395804
4679234;91611.59;9395807
4679235;92402.18;9395808
4679237;86343.52;9395810
4679238;94781.75;9395811
4679239;94781.75;9395812
4679241;122287.85;9395813
4679242;88366.43;9395814
4679244;79444.5;9395815
4679245;83800.7;9395816
4679247;85645.938;9395818
4679248;86887.9;9395819
4679249;87703.06;9395820
4679272;93935.73;9395821
4679251;85445.69;9395822
4679252;84441.77;9395823
4679253;80381.02;9395824
4679254;88784.05;9395825
4679255;90125.53;9395826
581891;153187.99;9395827
4676077;15106.25;9395828
4679256;23400.0;9395829
4679257;86273.29;9395830
4679258;87631.36;9395831
4679259;88989.38;9395832
4679260;90693.28;9395833
4679261;89205.24;9395834
4679262;87499.94;9395835
4679264;84760.13;9395836
4679265;79735.68;9395837
4679266;97133.31;9395838
4679267;97061.22;9395839
4679268;92103.01;9395840
4679269;94905.94;9395841
4679270;95993.92;9395842
4679411;14979.46;9395843
4775564;90944.58;9395844
876630;421604.41;9395845
677887;176630.98;9395846
4677061;152517.91;9395847
4678577;63282.44;9395848
4678576;107813.78;9395849
582264;44497.51;9395850
4677062;150337.26;9395851
4677063;87661.4;9395852
4677064;88010.5;9395853
4677065;88010.5;9395854
4677066;88010.5;9395855
4677067;117347.35;9395856
4677068;117507.36;9395857
4677069;88339.74;9395858
4677070;321907.35;9395859
4677071;302403.74;9395860
4677072;88211.83;9395861
4677073;150488.338;9395862
4677074;150578.83;9395863
4677075;87635.09;9395864
4677076;88010.5;9395865
4677077;88010.5;9395866
4677078;88010.5;9395867
4677079;329471.51;9395868
4677080;117347.35;9395869
4677081;21700.0;9395870
4678147;117286.88;9395871
878113;160768.63;9395872
775990;16264.54;9395873
4677121;149923.993;9395874
878105;354165.96;9395875
679225;44741.95;9395876
80820;708252.1685;9395877
679193;284565.33;9395878
876682;95704.44;9395879
582433;112689.43;9395880
4677860;101602.19;9395881
4679147;57659.87;9395882
184979;168526.59;9395883
4677114;88010.5;9395884
4677158;552212.56;9395886
380263;135318.06;9395887
775010;73964.44;9395888
4677082;325428.63;9395889
4677083;88010.5;9395890
4677084;87635.18;9395891
4677085;150832.21;9395892
4677090;88010.5;9395893
4677092;117347.35;9395895
4677093;88010.5;9395896
4677094;88010.5;9395897
4677095;88010.5;9395898
4677096;87597.33;9395899
4677097;151184.95;9395900
4677098;151264.31;9395901
4677099;87557.1;9395902
4677100;258169.75;9395903
4677102;88010.5;9395904
4677103;115587.23;9395905
4677104;115587.56;9395906
4677105;290362.03;9395907
4677106;88010.5;9395908
675037;28062.78;9395909
4775452;97007.14;9395910
875643;799578.91;9395911
484298;251620.09;9395912
4677107;88010.5;9395913
4677108;87556.86;9395914
4677109;151450.15;9395915
4677110;150624.6;9395916
4677111;88073.45;9395917
4677112;88010.5;9395918
4677113;88010.5;9395919
4677115;115587.23;9395920
4677116;115586.96;9395921
4677117;88010.5;9395922
4677118;88010.5;9395923
4677119;304158.73;9395924
4677120;87512.04;9395925
4677122;148435.52;9395926
4677123;87467.22;9395927
4677124;88010.5;9395928
4677125;88010.5;9395929
4677126;88010.5;9395930
4677127;437510.09;9395931
4679867;106642.32;9395932
4677128;115587.16;9395933
4677129;88010.5;9395934
4677130;88010.5;9395935
4677131;88010.5;9395936
4677132;87467.64;9395937
4677133;147316.34;9395938
4677134;146222.0;9395939
4677135;116755.23;9395940
4677136;117347.35;9395941
4677137;117347.35;9395942
4677138;115587.5;9395943
4677139;115587.3;9395944
4677140;362794.68;9395945
4677141;252995.99;9395946
4677142;88010.5;9395947
4677143;330585.26;9395948
878219;188938.41;9395949
4677144;100527.97;9395950
4677146;317380.57;9395951
4677149;311650.79;9395952
4677150;117347.35;9395953
4677151;280589.38;9395954
4677152;429914.64;9395955
4677154;519139.02;9395956
4677155;28300.0;9395957
4775804;92820.38;9395958
4775546;33042.52;9395959
4775489;32705.9;9395960
877187;2006518.93;9395961
4677156;117347.35;9395962
4677157;26700.0;9395963
4677159;117347.35;9395964
4677160;117347.35;9395965
4677161;1384286.73;9395966
4677162;112522.04;9395967
4677163;583541.52;9395968
4677164;115000.4;9395969
4677165;122124.07;9395970
4677166;526532.54;9395971
4677167;518601.213;9395972
4677168;518601.21;9395973
4677169;518601.21;9395974
4677170;117347.35;9395975
4677171;117347.35;9395976
4677172;117347.35;9395977
4677173;117347.35;9395978
4677175;2697662.06;9395980
4679271;97266.732018;9395981
4679275;92301.94;9395984
4679277;140593.03;9395985
4679278;134159.66;9395986
4679280;86992.69;9395988
4679281;83041.13;9395989
4679283;84866.63;9395991
4679284;83456.09018;9395992
4679285;96798.03;9395993
4679286;109001.63;9395994
4679288;100116.25;9395995
4679289;97524.47;9395996
4679290;91679.81;9395997
4679291;91884.16;9395998
4679293;108894.09;9395999
4677682;88270.76;9394000
4677683;89770.71;9394001
4677684;89207.07;9394002
4677685;84207.38;9394003
4677686;84136.111899;9394004
4677687;84064.88;9394005
4677688;24900.0;9394006
4677689;24900.0;9394007
4677690;83851.1;9394008
4677692;83708.59;9394010
4677693;83637.33;9394011
4677695;83439.35;9394013
4677696;83340.75;9394014
4677697;83242.17;9394015
4677699;83045.01;9394017
4677700;82946.43;9394018
4677701;82847.87;9394019
4677703;267269.08;9394021
4678124;166320.84;9394022
4678125;166320.8447;9394023
4678127;166473.02;9394024
81466;110771.2;9394025
582302;56125.56;9394026
4678140;56700.0;9394028
4679555;66558.37;9394029
4679554;66792.98;9394030
4676724;442015.48;9394031
676806;298369.34;9394032
676807;73166.47;9394033
4678139;31100.0;9394034
382460;74992.06;9394035
483154;42938.75;9394036
776646;50274.6;9394037
776610;543949.64;9394038
877034;458971.72;9394039
877035;726232.94;9394040
676103;144002.24;9394041
4676150;15106.25;9394042
80564;1.0;9394043
4675137;20974.65;9394044
677913;304445.43;9394045
879589;215848.583933;9394046
484646;104913.73;9394047
515886;66102.68;9394048
4775408;234821.27;9394049
876358;139772.02;9394050
4677620;29776.94;9394052
675767;208467.73;9394053
4679360;62546.13;9394054
6000009;1172706.37;9394055
4679892;430436.73;9394056
4679175;142294.99;9394058
879870;73079.12;9394059
879869;73780.94;9394060
879868;73783.2;9394061
879867;5300.0;9394062
879866;73782.43;9394063
879865;76189.68;9394064
380514;121167.04;9394065
677739;734773.71;9394066
80677;27111.92;9394067
484426;118764.09;9394068
877680;191596.13;9394069
675151;76369.67;9394070
778857;756571.85;9394071
582111;184598.64;9394072
879954;53669.541;9394073
776714;831276.72;9394074
877824;782523.56;9394075
4678342;191834.25;9394076
4775050;78890.868;9394077
4775049;89417.24;9394078
4677145;232702.07;9394079
4775415;235100.0;9394080
4679920;262915.56;9394081
4678248;155765.958;9394082
4678245;148317.227;9394084
384128;317457.45;9394085
4678606;237437.9;9394086
679590;6800.0;9394087
876247;158245.79;9394088
4679967;116599.02;9394089
4679966;120435.79;9394090
4676726;827665.59;9394091
4679923;3166316.0;9394092
4679926;3166316.0;9394093
384134;72338.83;9394095
481096;61400.39;9394096
875669;97576.08;9394097
81385;1948977.74;9394098
4679893;353323.46;9394099
877350;1083243.76;9394100
677572;206602.54;9394101
877375;707359.72;9394102
384426;355111.78;9394103
4677838;100503.51;9394104
4678246;155716.78;9394105
876089;523068.61;9394106
4676750;489723.65;9394107
677457;61507.06;9394108
878902;353260.81;9394109
779001;146684.19;9394110
381223;46123.17;9394111
678301;138911.2;9394112
482320;40972.11;9394113
581728;251882.59;9394114
