padron,bajado,terreno,mejoras,ph,total,valuacion
676796,true,9777.76,105944.58,0.0,115722.34,62216.3
676799,true,43065.44,286557.35,0.0,329622.78,19278.47
676800,true,72988.17,181805.08,0.0,254793.24,136985.61
676801,true,34298.92,151336.76,0.0,185635.68,99804.12
676802,true,34298.92,175681.76,0.0,209980.69,112892.83
676803,true,71684.84,226264.51,0.0,297949.35,160187.829
676808,true,43065.41,272900.05,0.0,315965.46,169873.9
676809,true,34298.92,100849.02,0.0,135147.95,72660.17
676812,true,41193.06,126170.82,0.0,167363.88,89980.58
676814,true,39957.25,301769.94,0.0,341727.19,183724.28
676815,true,34298.92,153915.76,0.0,188214.68,101190.68
676816,true,41193.05,226787.15,0.0,267980.2,18440.27
676818,true,34298.92,0.0,0.0,34298.92,18440.27
676819,true,37598.58,35956.41,0.0,73554.98,39545.66
676821,true,9793.23,161838.2,0.0,171631.43,92274.94
676822,true,34720.57,182717.95,0.0,217438.52,116902.43
676823,true,37448.22,231642.64,0.0,269090.87,124020.7
676824,true,37448.26,158495.45,0.0,195943.72,105346.08
676825,true,37448.26,358196.7,0.0,395644.96,212712.33
676826,true,37448.26,131131.53,0.0,168579.79,90634.28
676828,true,31960.39,204230.56,0.0,236190.95,126984.38
676829,true,34298.92,305249.05,0.0,339547.97,182552.67
676830,true,34298.92,119855.0,0.0,154153.92,82878.45
676831,true,9776.32,77177.27,0.0,86953.6,46749.23
676832,true,41193.06,201428.43,0.0,242621.49,130441.67
676833,true,34298.92,0.0,0.0,34298.92,18440.27
676834,true,34298.92,259385.54,0.0,293684.46,157894.86
676840,true,31180.86,165019.93,0.0,196200.79,105484.29
676841,true,31180.86,23888.88,0.0,55069.74,29607.38
676842,true,31180.86,0.0,0.0,31180.86,16763.9
676843,true,31180.86,188459.62,0.0,219640.48,118086.28
676847,true,0.0,0.0,0.0,0.0,
676851,true,31180.86,212718.47,0.0,243899.33,131128.68
676856,true,37448.26,0.0,0.0,37448.26,20133.46
676859,true,31180.86,0.0,0.0,31180.86,16763.9
676860,true,37448.26,0.0,0.0,37448.26,20133.46
676865,true,0.0,0.0,117433.05,117433.05,63136.04
676869,true,379022.67,430795.15,0.0,809817.83,435385.91
676870,true,92749.11,315555.25,0.0,408304.37,219518.47
676875,true,180041.81,0.0,0.0,180041.81,96796.66
676876,true,0.0,0.0,0.0,0.0,
676877,true,761481.28,4056502.15,0.0,4817983.43,2590313.67
676878,true,142571.84,840549.17,0.0,983121.01,528559.67
676883,true,89247.71,102937.0,0.0,192184.72,103325.12
676884,true,25004.91,138358.34,0.0,163363.26,87829.69
676885,true,115860.76,682748.59,0.0,798609.35,429359.86
676887,true,115618.68,0.0,0.0,115618.68,62160.57
676888,true,93688.92,229074.3,0.0,322763.22,173528.61
676891,true,1565678.55,0.0,0.0,1565678.55,841762.65
676892,true,125098.18,130657.81,0.0,255755.99,137503.21
676893,true,123844.3,514306.3,0.0,638150.6,343091.72
676894,true,130381.65,198131.15,0.0,328512.8,176619.79
676899,true,131385.81,278998.52,0.0,410384.33,220636.73
676900,true,124099.85,275560.96,0.0,399660.8,214871.38
676903,true,87053.5,0.0,0.0,87053.5,46802.96
676904,true,87556.36,5063.81,0.0,92620.17,49795.79
676905,true,87094.9,196570.18,0.0,283665.08,152508.09
676906,true,99027.68,211499.8,0.0,310527.48,166950.26
676907,true,88581.91,0.0,0.0,88581.91,47624.67
676908,true,88691.01,0.0,0.0,88691.01,47683.33
676909,true,88783.7,0.0,0.0,88783.7,47733.17
676910,true,88890.62,0.0,0.0,88890.62,47790.65
676911,true,91252.79,12144.63,0.0,103397.42,55590.01
676912,true,105847.69,205456.97,0.0,311304.66,167368.09
676913,true,101963.1,0.0,0.0,101963.1,54818.86
676914,true,100071.92,0.0,0.0,100071.92,53802.1
676915,true,100151.44,194707.21,0.0,294858.65,158526.14
676916,true,104883.61,377443.08,0.0,482326.69,259315.41
676917,true,82955.16,63658.86,0.0,146614.01,78824.73
676918,true,89871.0,482475.55,0.0,572346.56,307713.2
676919,true,63857.75,312826.06,0.0,376683.81,202518.18
676921,true,0.0,0.0,0.0,0.0,
676922,true,105932.36,303817.04,0.0,409749.4,220295.37
676923,true,105932.36,375422.54,0.0,481354.9,258792.95
676924,true,105932.36,428868.41,0.0,534800.77,287527.28
676925,true,105932.36,479583.64,0.0,585516.0,314793.54
676926,true,105932.36,406675.91,0.0,512608.27,275595.83
676927,true,105932.36,517641.27,0.0,623573.63,335254.63
676931,true,0.0,0.0,0.0,0.0,
676933,true,0.0,0.0,160207.57,160207.57,86133.11
676934,true,0.0,0.0,161225.58,161225.58,86680.4
676935,true,127202.89,0.0,0.0,127202.89,68388.65
676936,true,145601.61,0.0,0.0,145601.61,78280.43
676937,true,32893.62,34444.13,0.0,67337.75,36203.09373
676938,true,38766.79,153428.64,0.0,192195.43,103330.88
676939,true,36430.86,117473.83,0.0,153904.69,82744.45
676940,true,36435.72,145290.61,0.0,181726.33,97702.32
676942,true,1428920.83,3676282.92,0.0,5105203.76,2744733.19
676943,true,190077.32,345299.18,0.0,535376.51,287836.82
676944,true,189131.03,364804.95,0.0,553935.98,297815.04
676945,true,364109.46,599167.89,0.0,963277.36,517891.04
676949,true,153011.05,177314.77,0.0,330325.81,177594.5
676953,true,179318.82,1960091.42,0.0,2139410.24,1150220.55
676954,true,218428.94,724568.66,0.0,942997.6,506987.93
676957,true,120070.85,306171.22,0.0,426242.06,229162.39
676958,true,178417.89,494087.68,0.0,672505.57,361562.13
676962,true,0.0,0.0,228527.6,228527.6,122864.29
676963,true,0.0,0.0,226615.0,226615.0,121836.01
676964,true,59374.62,119847.91,0.0,179222.53,96356.18
676969,true,72032.23,0.0,0.0,72032.23,38726.99
676970,true,20165.74,133516.77,0.0,153682.51,82625.01
676971,true,24526.88,182112.27,0.0,206639.15,111096.31
676972,true,19772.83,58884.12,0.0,78656.95,42288.66
676973,true,24408.37,96519.11,0.0,120927.48,65014.77
676974,true,24894.22,60541.04,0.0,85435.26,45932.92
676975,true,21541.59,51010.74,0.0,72552.33,39006.62
676976,true,30686.12,125892.8,0.0,156578.92,84182.2
676977,true,22453.05,33725.28,0.0,56178.33,30203.39
676978,true,22688.72,117253.44,0.0,139942.16,75237.71
676979,true,19643.94,65105.66,0.0,84749.6,45564.29
676980,true,22453.05,188919.65,0.0,211372.7,113641.23
676981,true,24751.39,31420.68,0.0,56172.07,30200.03
676982,true,24397.85,21130.74,0.0,45528.59,24477.71
676983,true,24279.91,159723.86,0.0,184003.78,98926.76
676984,true,36419.88,55893.24,0.0,92313.12,49630.69
676985,true,24279.91,26895.92,0.0,51175.83,27513.88
676986,true,24279.91,28049.67,0.0,52329.58,28134.18
676987,true,22387.86,116181.97,0.0,138569.83,74499.9
676988,true,59563.08,118815.4,0.0,178378.48,95902.39
676989,true,25634.44,22005.7,0.0,47640.15,25612.98
676990,true,35038.96,25964.13,0.0,61003.09,32797.35
676991,true,22993.89,84458.92,0.0,107452.81,57770.32
676992,true,22293.62,17624.93,0.0,39918.54,21461.57
676993,true,22293.62,19115.59,0.0,41409.21,22263.0
676994,true,22400.93,175470.51,0.0,197871.44,106382.48
676995,true,24505.71,147042.72,0.0,171548.43,92230.32
676996,true,21940.83,134526.71,0.0,156467.54,84122.32
676997,true,21914.36,145963.49,0.0,167877.85,90256.9
676998,true,23230.21,146725.84,0.0,169956.05,91374.2
676999,true,26843.0,82687.79,0.0,109530.79,58887.51
677000,true,23727.19,103184.05,0.0,126911.25,68231.85
677002,true,17720.7,17115.55,0.0,34836.25,18729.15
677003,true,22190.87,56992.79,0.0,79183.66,42571.86
677004,true,30729.6,93381.92,0.0,124111.52,66726.612
677005,true,38856.57,228871.66,0.0,267728.23,143939.9
677008,true,23223.5,62212.04,0.0,85435.54,45933.08
677010,true,25668.06,0.0,0.0,25668.06,13800.03
677011,true,23213.45,50637.74,0.0,73851.18,39704.93
677013,true,25668.06,94671.36,0.0,120339.42,64698.6
677014,true,25799.03,42322.33,0.0,68121.36,36624.38
677015,true,25668.06,110838.75,0.0,136506.81,73390.76
677016,true,25668.06,62863.16,0.0,88531.22,47597.43
677017,true,25668.06,108173.92,0.0,133841.98,71958.06
677018,true,25668.06,171214.12,0.0,196882.18,105850.63
677019,true,25668.06,126899.89,0.0,152567.95,82025.78
677020,true,25668.06,111052.17,0.0,136720.23,73505.5
677021,true,25668.06,44622.7,0.0,70290.76,37790.74
677022,true,23600.81,92777.37,0.0,116378.18,62568.9
677024,true,26418.13,148039.42,0.0,174457.54,93794.36
677025,true,25513.29,58707.19,0.0,84220.48,45279.82
677026,true,25545.87,132942.75,0.0,158488.61,85208.91
677027,true,23193.89,0.0,0.0,23193.89,12469.83
677028,true,23977.26,75233.21,0.0,99210.47,53338.95
677030,true,23630.95,78572.11,0.0,102203.06,54947.88
677031,true,23223.5,188567.16,0.0,211790.66,113865.95
677032,true,23595.45,57871.73,0.0,81467.18,43799.53
677033,true,25635.29,136678.45,0.0,162313.74,87265.44
677035,true,25668.06,174567.87,0.0,200235.93,107653.73
677036,true,25668.06,25212.72,0.0,50880.78,27355.25
677037,true,25668.06,97383.63,0.0,123051.69,66156.82
677039,true,22034.27,102548.32,0.0,124582.59,66979.87
677040,true,25668.06,106802.15,0.0,132470.21,71220.55
677042,true,23686.39,82467.18,0.0,106153.56,57071.79
677043,true,23228.24,134956.99,0.0,158185.23,85045.82
677044,true,40545.55,37954.91,0.0,78500.46,42204.53
677045,true,21682.83,74458.93,0.0,96141.76,51689.1
677046,true,21115.04,70685.29,0.0,91800.33,49355.01
677047,true,21669.11,89992.71,0.0,111661.82,60033.23
677048,true,23730.64,172865.84,0.0,196596.49,105697.02
