padron;valuacion_total;valuacion
81107;209157.5;1.005
81110;387500.08;1.0
81114;473863.57;1.0
81120;347134.17;1.0
81131;1305547.21;1.0
81132;307438.69;1.007974
81133;175193.46;1.0
81137;47315.08;1.0
81143;356311.16;1.0
81146;1747456.48;1.0
81148;186903.48;1.0
81150;222258.15;1.0
81151;384433.92;1.0
81164;267408.24;1.0
81170;342490.48;1.0
81173;17710981.15;60400.0
81184;284597.59;1.0
81188;444781.44;1.0
81194;286256.65;1.0
81195;326254.8;1.0
81197;237114.4;1.0
81204;370559.68;1.0
81212;1076232.72;1.0
81214;142173.04;1.0
81215;487670.25;1.0
81217;187175.06;1.0
81223;529299.13;1.0
81244;491837.08;1.0
81253;268960.47;1.0
81255;35294.63;1.0
81273;108944.31;1.0
81274;354416.18;1.0
81275;29771.97;1.0
81277;87699.6;1.0
81278;175919.21;1.0
81285;148068.75;1.0
81288;169478.65;1.0
81297;168541.26;1.0
81311;65226.77;1.0
81320;640226.25;1.0
81330;245878.41;1.0
81331;168318.17;1.0
81339;174544.32;1.0
81342;325316.26;17300.0
81347;379503.99;1.0
81364;259012.95;4900.0
81369;387827.14;1.0
81371;175432.83;1.0
81373;574886.46;1.0
81375;5882.43;1.0
81384;13650.98;1.0
81386;360085.0;1.0
81405;2860488.13;1.0
81409;710500.07;1.0
81446;614552.46;1.0
81454;285856.39;1.0
81460;34509.05;1.0
81461;203055.1;1.0
81467;128254.06;1.0
81472;868552.47;1.0
81474;437996.6;1.0
81481;277201.47;1.0
81482;285194.03;1.0
81483;157145.65;1.0
81489;298093.53;1.0
81490;85098.57;1.0
81497;224482.37;1.0
81503;568776.2;1.0
81508;216915.95;1.0
81511;470245.31;27500.0
81516;1152090.63;1.0
81518;4977108.38;1.0
81534;1061247.89;1.0
81535;793719.68;1.0
81538;106393.56;1.0
81543;344589.68;1.0
81552;29412.19;1.0
81554;55677.11;1.0
81555;147048.72;1.0
81565;1139093.14;1.0
81571;1390950.57;84000.0
81582;1312180.67;1.0
81583;191949.87;1.0
81584;138140.75;1.0
81587;202612.89;1.0
81590;120524.54;1.0
81596;271895.23;1.0
81601;532028.14;1.0
81619;29412.19;1.0
81620;62562.33;1.0
81627;214325.82;1.0
81635;442546.59;1.0
81636;436170.74;1.0
81644;328253.83;1.0
81646;1572232.2;1.0
81648;212845.51;1.0
81667;180329.29;1.0
81668;730296.88;1.0
81695;169919.26;1.0
81702;354080.35;1.0
81703;265245.15;1.0
81714;410731.4;1.0
81716;4323989.6;1.0
81719;170635.33;1.0
81723;112309.7;1.0
81730;158880.66;1.0
81741;232695.86;1.0
81744;365038.42;1.0
81745;186977.63;1.0
81750;158706.9;1.0
81751;259374.17;1.0
81756;467733.56;1.0
81761;78963.13;1.0
81762;137491.99;1.0
81765;511134.52;1.0
81772;1798666.24;1.0
81773;281698.21;1.0
81776;292790.23;1.0
81777;180783.74;1.0021
81778;190093.8;1.0
81779;680454.71;1.0
81780;98585.34;1.0
81786;249094.04;1.0
81790;168466.37;1.005
81791;241713.23;1.008
81792;147916.52;1.0
81793;257965.52;20300.0
81799;779525.71;1.0
81802;254508.86;1.0
81814;5882.43;1.001712
81825;187375.86;1.0
81828;138261.46;1.0
81830;207871.31;1.00531
